classification,match_score,dalua_title,dalua_cost_ex_gst,dalua_cost_plus_gst,dalua_markdown_ex_gst,dalua_markdown_plus_gst,dalua_product_url,dalua_image_url,shopify_title,shopify_product_url,shopify_retail_price,exclude_reason,review_note,qualification,qualification_reason,proposed_variant_family,variant_group_size
missing,0.649,Drift Wood Small,6.73,7.40,5.38,5.92,https://daluawholesale.com.au/product/drift-wood-medium/,https://daluawholesale.com.au/wp-content/uploads/2025/08/dalua-drift-wood-shapes.png,Driftwood Catfish 7cm,https://nanotanksaustralia.com.au/products/driftwood-catfish-7cm,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,drift wood,
missing,0.541,Dragon Stone 15kg Box,58.69,64.56,46.95,51.65,https://daluawholesale.com.au/product/dragon-stone-15kg-box/,https://daluawholesale.com.au/wp-content/uploads/2025/08/dragon-stone-main-.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,dragon stone box,1
missing,0.550,Seiryu Stone 20kg Box,78.25,86.08,62.60,68.86,https://daluawholesale.com.au/product/seiryu-stone-20kg-box/,https://daluawholesale.com.au/wp-content/uploads/2025/08/ChatGPT-Image-Aug-23-2025-06_22_50-PM.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,seiryu stone box,1
missing,0.500,Tini LED WRGB,143.75,158.13,125.00,137.50,https://daluawholesale.com.au/product/tini-led-wrgb/,https://daluawholesale.com.au/wp-content/uploads/2025/08/tini-led-wrgb.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,tini led wrgb,1
missing,0.560,River Pebble Stone per kg,4.07,4.48,3.13,3.44,https://daluawholesale.com.au/product/river-pebble-stone-per-kg/,https://daluawholesale.com.au/wp-content/uploads/2025/07/river_pebble_stone_.png,,,,,,freshwater_candidate,low duplicate risk and fits general freshwater/aquascaping catalogue,river pebble stone per kg,1
missing,0.566,CORAL ESSENTIALS BARIUM 50ML,22.33,24.56,16.75,18.43,https://daluawholesale.com.au/product/coral-essentials-barium-50ml/,https://daluawholesale.com.au/wp-content/uploads/2021/06/291.jpg,,,,,,marine_review,marine/reef range — strategic review,coral essentials barium,
missing,0.545,CORAL ESSENTIALS VANADIUM 50ML,22.33,24.56,16.75,18.43,https://daluawholesale.com.au/product/coral-essentials-vanadium-50ml/,https://daluawholesale.com.au/wp-content/uploads/2021/06/291.jpg,,,,,,marine_review,marine/reef range — strategic review,coral essentials vanadium,
missing,0.545,CORAL ESSENTIALS RUBIDIUM 50ML,22.33,24.56,16.75,18.43,https://daluawholesale.com.au/product/coral-essentials-rubidium-50ml/,https://daluawholesale.com.au/wp-content/uploads/2021/06/291.jpg,,,,,,marine_review,marine/reef range — strategic review,coral essentials rubidium,
missing,0.545,CORAL ESSENTIALS BIO PRO 100ML,33.55,36.91,22.65,24.92,https://daluawholesale.com.au/product/coral-essentials-bio-pro-100ml/,https://daluawholesale.com.au/wp-content/uploads/2025/07/bio-pro-100ml.png,,,,,,marine_review,marine/reef range — strategic review,coral essentials bio pro,
missing,0.542,CORAL ESSENTIALS BIO CONTROL 100ML,33.55,36.91,22.65,24.92,https://daluawholesale.com.au/product/coral-essentials-bio-control-100ml/,https://daluawholesale.com.au/wp-content/uploads/2025/07/bio-control-100ml.png,,,,,,marine_review,marine/reef range — strategic review,coral essentials bio control,
missing,0.552,CORAL ESSENTIALS BIO CONTROL 50ML,20.11,22.12,13.58,14.94,https://daluawholesale.com.au/product/coral-essentials-bio-control-50ml/,https://daluawholesale.com.au/wp-content/uploads/2025/07/bio-control-100ml.png,,,,,,marine_review,marine/reef range — strategic review,coral essentials bio control,
missing,0.556,CORAL ESSENTIALS BIO PRO 50ML,20.11,22.12,13.58,14.94,https://daluawholesale.com.au/product/coral-essentials-bio-pro-50ml/,https://daluawholesale.com.au/wp-content/uploads/2025/07/bio-pro-100ml.png,,,,,,marine_review,marine/reef range — strategic review,coral essentials bio pro,
missing,0.806,Phat Pro Fertiliser 2.75L,71.40,78.54,53.55,58.91,https://daluawholesale.com.au/product/phat-pro-fertiliser-2-75l/,https://daluawholesale.com.au/wp-content/uploads/2025/04/phat-pro-2.75l.png,Phat Pro Fertiliser 250ml 500ml 2.75L,https://nanotanksaustralia.com.au/products/phat-pro-fertiliser-250ml-500ml-2-75l,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,phat pro fertiliser,
missing,0.806,Phat Pro Fertiliser 500ml,17.95,19.75,13.46,14.81,https://daluawholesale.com.au/product/phat-pro-fertiliser-500ml/,https://daluawholesale.com.au/wp-content/uploads/2025/04/phat-pro-500ml.png,Phat Pro Fertiliser 250ml 500ml 2.75L,https://nanotanksaustralia.com.au/products/phat-pro-fertiliser-250ml-500ml-2-75l,,,,duplicate_review,low-confidence Shopify match exists — resolve before creation,phat pro fertiliser,
